CompanyCode,FirstIndustryName
187017,信息传输、软件和信息技术服务业
187176,制造业
187182,制造业
191295,信息传输、软件和信息技术服务业
191297,制造业
191485,制造业
192232,制造业
193077,制造业
193300,制造业
193302,制造业
193458,信息传输、软件和信息技术服务业
193740,信息传输、软件和信息技术服务业
193760,制造业
194714,租赁和商务服务业
194960,制造业
194962,制造业
201058,电力、热力、燃气及水生产和供应业
202200,制造业
202231,制造业
202462,制造业
202568,制造业
202595,制造业
204495,制造业
205008,水利、环境和公共设施管理业
206503,批发和零售业
207272,制造业
207411,制造业
207414,水利、环境和公共设施管理业
207415,制造业
207686,批发和零售业
207866,制造业
207869,制造业
209604,制造业
209622,制造业
219618,制造业
220215,制造业
220240,制造业
220244,制造业
220279,制造业
220280,信息传输、软件和信息技术服务业
221666,制造业
222462,制造业
222534,制造业
224274,制造业
225164,水利、环境和公共设施管理业
225995,制造业
226398,制造业
227105,交通运输、仓储和邮政业
228132,科学研究和技术服务业
228296,制造业
228300,制造业
228652,制造业
228738,制造业
230350,制造业
231503,信息传输、软件和信息技术服务业
231508,制造业
231733,住宿和餐饮业
231735,制造业
231762,科学研究和技术服务业
232002,制造业
232004,信息传输、软件和信息技术服务业
232013,文化、体育和娱乐业
232017,房地产业
233882,制造业
233901,信息传输、软件和信息技术服务业
233973,制造业
236657,制造业
237318,制造业
238049,制造业
249149,制造业
250735,制造业
251227,制造业
251247,信息传输、软件和信息技术服务业
251818,制造业
252350,交通运输、仓储和邮政业
257243,信息传输、软件和信息技术服务业
257431,制造业
258067,制造业
259488,批发和零售业
260410,制造业
261970,制造业
261972,制造业
261999,制造业
271263,制造业
271309,电力、热力、燃气及水生产和供应业
278939,制造业
281785,信息传输、软件和信息技术服务业
282766,制造业
283583,科学研究和技术服务业
298546,制造业
301027,制造业
304504,制造业
306386,制造业
349864,批发和零售业
351869,科学研究和技术服务业
364170,制造业
379877,制造业
390632,制造业
390639,制造业
394697,房地产业
406680,制造业
415090,制造业
503026,制造业
524778,信息传输、软件和信息技术服务业
529748,制造业
531920,制造业
621135,制造业
623539,制造业
638886,制造业
10009158,制造业
10014606,文化、体育和娱乐业
10018538,批发和零售业
10034985,科学研究和技术服务业
10052145,制造业
10069885,制造业
10074170,电力、热力、燃气及水生产和供应业
10075819,制造业
10104270,信息传输、软件和信息技术服务业
10107491,制造业
10116113,制造业
10116129,制造业
10139416,建筑业
10139500,制造业
10192800,制造业
10245576,制造业
10273428,制造业
12965566,制造业
13166837,科学研究和技术服务业
17136463,制造业
21067340,制造业
46072723,信息传输、软件和信息技术服务业
46790318,制造业
55245745,制造业
